Date,Open,High,Low,Close  
2020-03-30 00:00:00-04:00,24.397.942,25.812.315,24.397.942,25.670.877
2020-03-31 00:00:00-04:00,25.458.724,25.930.182,25.333.003,25.647.308
2020-01-04 00:00:00-04:00,25.081.558,25.364.433,24.775.111,24.947.979
2020-02-04 00:00:00-04:00,25.065.838,25.930.176,24.947.974,25.828.028
2020-03-04 00:00:00-04:00,25.639.449,26.629.512,25.639.449,26.433.071
2020-06-04 00:00:00-04:00,26.653.079,27.423.126,26.543.072,27.163.826
2020-07-04 00:00:00-04:00,27.501.706,27.635.285,26.393.778,26.409.494
2020-08-04 00:00:00-04:00,26.708.082,27.344.551,26.275.912,27.187.397
2020-09-04 00:00:00-04:00,27.525.282,28.106.747,27.383.843,27.808.157
2020-04-13 00:00:00-04:00,28.256.035,28.271.753,27.281.691,27.611.710
2020-04-14 00:00:00-04:00,28.232.462,28.782.498,27.768.862,28.633.202
2020-04-15 00:00:00-04:00,28.334.613,28.468.192,27.957.445,28.263.895
2020-04-16 00:00:00-04:00,28.381.766,28.491.773,27.957.451,28.193.180
2020-04-17 00:00:00-04:00,28.680.353,29.073.232,28.373.903,29.002.514
2020-04-20 00:00:00-04:00,28.586.055,29.002.509,28.350.327,28.350.327
2020-04-21 00:00:00-04:00,28.114.604,28.232.468,27.792.442,27.988.882
2020-04-22 00:00:00-04:00,29.041.807,29.073.235,28.381.767,28.483.913
2020-04-23 00:00:00-04:00,28.507.482,29.387.536,28.507.482,28.829.643
2020-04-24 00:00:00-04:00,28.947.508,29.411.108,28.900.365,29.371.822
2020-04-27 00:00:00-04:00,29.536.836,30.283.308,29.521.118,30.118.298
2020-04-28 00:00:00-04:00,30.684.039,30.817.618,29.371.817,29.788.271
2020-04-29 00:00:00-04:00,30.220.445,30.291.163,29.631.123,29.953.287
2020-04-30 00:00:00-04:00,29.858.995,30.259.735,29.356.106,30.141.870
2020-01-05 00:00:00-04:00,29.741.129,29.811.847,29.379.679,29.576.118
2020-04-05 00:00:00-04:00,29.544.684,29.796.131,29.395.391,29.560.402
2020-05-05 00:00:00-04:00,30.495.464,30.534.750,30.071.153,30.259.735
2020-06-05 00:00:00-04:00,30.621.185,30.652.617,30.259.735,30.259.735
2020-07-05 00:00:00-04:00,30.481.940,30.545.430,29.275.678,29.331.230
2020-08-05 00:00:00-04:00,29.561.371,29.664.539,29.394.716,29.537.561
2020-11-05 00:00:00-04:00,29.561.370,30.323.221,29.489.948,30.235.924
2020-12-05 00:00:00-04:00,30.251.798,30.347.028,29.632.793,29.648.664
2020-05-13 00:00:00-04:00,29.608.985,29.696.279,29.037.596,29.402.649
2020-05-14 00:00:00-04:00,29.204.248,30.124.815,29.188.377,30.093.073
2020-05-15 00:00:00-04:00,30.124.823,30.291.478,29.672.477,29.966.106
2020-05-18 00:00:00-04:00,30.426.388,30.521.617,29.862.935,30.212.116
2020-05-19 00:00:00-04:00,30.037.532,30.172.442,29.608.992,29.902.622
2020-05-20 00:00:00-04:00,30.116.885,30.315.286,29.799.449,29.862.936
2020-05-21 00:00:00-04:00,29.815.323,29.878.810,29.402.654,29.569.309
2020-05-22 00:00:00-04:00,29.450.267,29.783.577,29.331.228,29.759.768
2020-05-26 00:00:00-04:00,29.878.807,30.053.398,29.720.088,29.751.833
2020-05-27 00:00:00-04:00,29.688.341,29.791.509,29.339.160,29.688.341
2020-05-28 00:00:00-04:00,30.029.594,30.505.750,29.934.361,30.299.414
2020-05-29 00:00:00-04:00,30.370.836,30.497.810,29.823.254,30.307.348
2020-01-06 00:00:00-04:00,28.172.581,28.355.107,27.704.360,28.140.839
2020-02-06 00:00:00-04:00,28.196.389,28.696.352,27.974.182,28.696.352
2020-03-06 00:00:00-04:00,28.799.520,28.894.752,28.204.325,28.696.352
2020-04-06 00:00:00-04:00,28.339.242,28.799.527,28.331.307,28.577.320
2020-05-06 00:00:00-04:00,28.759.837,28.958.237,28.474.143,28.561.440
2020-08-06 00:00:00-04:00,28.410.657,29.045.533,28.315.428,29.037.598
2020-09-06 00:00:00-04:00,28.966.175,29.093.150,28.704.287,28.736.032
2020-10-06 00:00:00-04:00,28.855.069,28.926.492,28.482.078,28.505.888
2020-11-06 00:00:00-04:00,28.251.939,28.315.427,26.410.801,26.426.672
2020-12-06 00:00:00-04:00,27.045.677,27.061.548,26.228.275,26.783.792
2020-06-15 00:00:00-04:00,26.426.673,26.759.983,25.998.133,26.474.289
2020-06-16 00:00:00-04:00,26.656.819,26.950.451,25.966.393,26.506.037
2020-06-17 00:00:00-04:00,26.656.817,26.799.664,26.442.547,26.633.009
2020-06-18 00:00:00-04:00,26.402.871,26.561.589,26.172.728,26.379.063
2020-06-19 00:00:00-04:00,26.736.178,26.775.858,26.283.828,26.521.908
2020-06-22 00:00:00-04:00,26.450.483,26.474.291,26.117.174,26.275.892
2020-06-23 00:00:00-04:00,26.347.316,26.386.996,25.982.263,26.006.071
2020-06-24 00:00:00-04:00,25.958.454,25.974.325,25.395.001,25.545.784
2020-06-25 00:00:00-04:00,25.482.299,25.696.571,25.260.094,25.648.954
2020-06-26 00:00:00-04:00,25.593.404,25.617.212,25.085.504,25.426.748
2020-06-29 00:00:00-04:00,25.760.061,25.926.715,25.553.727,25.902.908
2020-06-30 00:00:00-04:00,25.815.608,26.093.365,25.577.530,25.950.518
2020-01-07 00:00:00-04:00,27.410.731,27.410.731,26.759.985,26.775.858
2020-02-07 00:00:00-04:00,27.474.220,27.656.747,27.013.939,27.386.927
2020-06-07 00:00:00-04:00,27.736.108,27.767.850,27.283.759,27.386.927
2020-07-07 00:00:00-04:00,27.021.875,27.259.953,26.950.453,27.006.004
2020-08-07 00:00:00-04:00,26.990.125,27.275.820,26.640.945,26.783.792
2020-09-07 00:00:00-04:00,26.767.923,26.886.962,26.267.958,26.553.652
2020-10-07 00:00:00-04:00,26.712.369,27.013.936,26.577.459,26.847.281
2020-07-13 00:00:00-04:00,27.561.515,28.347.171,27.394.859,27.942.438
